u,F,fracture_dissipation,l,a,Nl_Ntot
1.2244939264681203e-05,76.04439110160249,0.00023707888723001425,273130000.0,0.0007205014463373223,0.22639225181598063
1.225270501282994e-05,75.88560301940416,0.00023833212851869458,272550000.0,0.0007209656097775742,0.22760290556900725
1.2261366647798341e-05,75.73406659333861,0.00023957521472869314,272000000.0,0.0007214260120775737,0.2288135593220339
1.2270658130830125e-05,75.58147434113297,0.00024084895658915784,271440000.0,0.0007218977683221903,0.23002421307506055
1.2278172138716154e-05,75.41653647227218,0.00024213223304434296,270840000.0,0.0007223730558981847,0.23123486682808717
1.228464435690771e-05,75.24359801557034,0.00024342507165609617,270210000.0,0.0007228518850136489,0.2324455205811138
1.228701677509388e-05,75.05567346843114,0.00024465495173038663,269530000.0,0.000723307396152275,0.23365617433414043
1.2277540424965205e-05,74.83238840360241,0.0002456564537098187,268730000.0,0.000723678322811324,0.23486682808716708
1.2293244157979668e-05,74.73277851076016,0.0002468383603494253,268360000.0,0.0007241160660111782,0.2360774818401937
1.2305546397102768e-05,74.60051550860719,0.0002480930214551651,267880000.0,0.0007245807553096004,0.23728813559322035
1.2315990436943662e-05,74.46766721978173,0.00024928496019815174,267400000.0,0.0007250222141032991,0.23849878934624696
1.2324522145794777e-05,74.31044251466994,0.0002505561211194309,266830000.0,0.0007254930144445136,0.2397094430992736
1.2328956576227957e-05,74.1386521492103,0.0002517673932624911,266200000.0,0.0007259416337567581,0.24092009685230023
1.2335295298029447e-05,73.97816856049897,0.00025298042997168915,265620000.0,0.0007263909066120166,0.24213075060532688
1.2340900421611604e-05,73.81846579602043,0.0002541615379739011,265040000.0,0.0007268283540202434,0.24334140435835352
1.2350216325363391e-05,73.68266173303093,0.0002553315510602165,264550000.0,0.0007272616922003602,0.24455205811138014
1.235726529902042e-05,73.52937810341317,0.00025652722525168817,263990000.0,0.0007277045344934978,0.2457627118644068
1.2364776825358104e-05,73.39619102427694,0.0002576210403517869,263500000.0,0.0007281096511972381,0.2469733656174334
1.2382836949622296e-05,73.3155079820527,0.0002587761607201171,263210000.0,0.0007285374735558789,0.24818401937046006
1.2396138629240087e-05,73.19403446036735,0.00026001160426886784,262770000.0,0.0007289950452406014,0.24939467312348668
